,0,1,2,3,4,5,6,7,8
Model,CoxPH,CoxPH,CoxPH,DSM,DSM,DSM,DeepCoxPH,DeepCoxPH,DeepCoxPH
Quartile_Time,496.0,992.0,1127.0,496.0,992.0,1127.0,496.0,992.0,1127.0
Quartile_Idx,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3
C-Index (TD),0.698695455630201,0.6846663242883767,0.6574349284511778,0.698412967002105,0.6837685161059508,0.6534288660973908,0.704615197921697,0.6862834915538732,0.6603260014904087
Brier Score,0.07092873843951898,0.13952034569983557,0.20583226378965777,0.0716186111007758,0.15385959804812774,0.21189925586458272,0.07079668295864198,0.13919089651419728,0.20453549169548121
AUC Score,0.70684717388981,0.6976760312459935,0.6573720786286508,0.7066955120954934,0.69596778484494,0.6478786843557007,0.7131455079874459,0.7000175146581644,0.6630181785965545
AUC_95%_CI,"(0.6889, 0.7249)","(0.6838, 0.7106)","(0.6432, 0.6716)","(0.6888, 0.7236)","(0.6825, 0.7096)","(0.6327, 0.6617)","(0.6965, 0.7309)","(0.6862, 0.7133)","(0.6483, 0.6771)"
